Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
General Accountant,Full Time,On-site,N/A,Posted 15 days ago,31,1 open position,1 To 6 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Finance excel Accounting Software CPA Financial Analysis Financial Management GAAP General Ledger MS Software CMA
Female Sales Representative – Corporate Sales (Ticketing & Tourism Agency),Full Time,On-site,N/A,Posted 23 days ago,10,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Sales/Retail,sales Female Sales Representative Ticketing Tourism Agency
Motion Graphics Designer,Full Time,On-site,,Posted 8 days ago,21,1 open position,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Design Designer Editing Graphic Graphic Design graphic designer photoshop Real Estate Software adobe Adobe illustrator Adobe Photoshop
Senior Employee Experience Specialist,Full Time,On-site,,Posted 1 month ago,48,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Human Resources,Communication skills Employee Relations HR Human Resources (HR) Microsoft Office Recruitment Retail HR Operations Employee Retention Exit Interviews Employee Feedback Employee Satisfaction Turnover Analysis Workplace Culture Employee Surveys HR Policies              
Secretary,Full Time,On-site,,Posted 1 month ago,40,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,Administration administrative Communication Management Microsoft Office MS MS Office office Office management Secretary Time Management
Plastic Production Engineer - Blowing Machines,Full Time,On-site,N/A,Posted 2 months ago,101,1 open position,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Installation/Maintenance/Repair,Engineering Production Mechanical Engineering Plastic Chemistry Industrial Electricity Maintenance Electrical Engineering English Machines
Customer Support Agent – Vodafone UK Alex Smouha,Full Time,Hybrid,,Posted 4 days ago,7,20 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Internet Allowance Device And Headset Will Be Provided Profit Share",Customer Service/Support,Call Center Customer Service Customer Care Customer Support English Communication skills Call Centre Communication voda vodafone UK VOIS UK Vodafone remote job work from home Technical Support Skills Hybrid job hybrid vacancy Vodafone Ireland VF IE              
Event Activation Specialist,Full Time,On-site,,Posted 1 month ago,52,1 open position,1 To 3 Years,Experienced (Non-Manager),Not Specified,Confidential,Marketing/PR/Advertising,Active Directory Computer Science Digital Marketing digital marketing English Event Planning Events Marketing Social Media Planning media
Engineering Technical Office Manger,Full Time,On-site,,Posted 2 months ago,68,1 open position,9 To 10 Years,Experienced (Non-Manager),Not Specified,0 To 0 EGP Per Month,Engineering - Construction/Civil/Architecture,Manager Microsoft Office Administration Office management Office manager technical Technical Office Technical Office Manager
Export Logistics Specialist,Full Time,On-site,N/A,Posted 1 month ago,83,2 open positions,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Logistics Supply Chain Export
Dental Student or Doctor Consultant for Import/Export Business,Full Time,Hybrid,,Posted 22 days ago,89,1 open position,More Than 1 Year,Experienced (Non-Manager),Not Specified,Confidential,Medical/Healthcare,Dental Dentistry Dental Care Health Care Pediatric Dentistry
Senior Logistics Specialist,Full Time,On-site,,Posted 1 month ago,202,1 open position,3 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Logistics Supply Chain Export Communication Communication skills Customs International Trade Supply supply chain management Sales
Electro-mechanical Engineer,Full Time,On-site,,Posted 2 months ago,9,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Quality Control Engineering
"Associate Manager, IT Project Management",Full Time,On-site,,Posted 1 month ago,179,1 open position,8 To 10 Years,Manager,Not Specified,Confidential,IT/Software Development,Information Management IT
Social Media Specialist,Full Time,Remote,,Posted 27 days ago,183,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,6000 To 12000 EGP Per Month,Writing/Editorial,Communication Social Media Online Marketing digital media E-Marketing Editing Marketing Web Design Writing Digital
Pharmaceutical Quality Assurance Senior Specialist,Full Time,On-site,,Posted 9 days ago,54,3 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,R&D/Science,Analysis Pharmaceutical Quality Assurance
Technical Support Engineer- Obour City,Full Time,On-site,,Posted 2 months ago,38,1 open position,4 To 8 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Installation/Maintenance/Repair,Automotive Problem-Solving Attention to Detail Mechanical Engineering Mechanical Engineering Communication Repair Customer Support Maintenance Workshop technical Support Technical Support Electrical Troubleshooting Workshops
Senior Site Engineer,Full Time,On-site,,Posted 2 months ago,177,3 open positions,4 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,Civil Engineering Architecture Project Management Site Engineer Site senior Engineering engineer Civil Arch
Order Taker/Customer Service Agent,Full Time,Hybrid,N/A,Posted 2 months ago,55,50 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Profit Share And Bonus",Customer Service/Support,Call Center Customer Care Customer Service Customer Support Communication English MS MS Office Skills Customer
Marketing Manager,Full Time,Hybrid,N/A,Posted 2 months ago,72,1 open position,5 To 9 Years,Manager,Bachelor'S Degree,Confidential,Marketing/PR/Advertising,Google Analytics campaigns Analytics Market Research Marketing Campaigns Sales Google Adwords Social Media Marketing SEO Marketing Strategy market research
Merchandiser,Full Time,On-site,,Posted 28 days ago,13,2 open positions,1 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Customer Service/Support,Manufacturing Retail Merchandising sales skills Textiles
Talent Acquisition Officer,Full Time,On-site,,Posted 1 month ago,110,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Social & Medical Insurance",Administration,Talent Acquisition Talent Recruitment Communication Skills Human Resources (HR) Interviewing Human Resources Computer Skills Microsoft Office English Mass Hiring HR Hiring Communication Applicant Tracking Systems Applicant Tracking human resources management 
Senior Purchasing Specialist,Full Time,On-site,,Posted 2 months ago,168,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,Supply Chain Purchasing Procurement Communication skills Food Pharmaceutical English
Senior Sales Engineer,Full Time,On-site,,Posted 12 days ago,14,1 open position,3 To 6 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Mechanical/Electrical,Communication skills Engineering English Electrical technical Sales Skills Marketing Strategy Communication Mechanical Mechatronics Project Planning Business Analysis
Accounting Intern,Internship,On-site,,Posted 2 months ago,192,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,"Paid, Bonus",Accounting/Finance,Accounting Commerce
Mechanical Design Team leader - Plumbing and Firefighting,Full Time,On-site,,Posted 3 days ago,Be the First to Apply,N/A,8 To 15 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Mechanical Engineering AutoCAD Communication skills Revit MEP
Customer Service Administrator,Full Time,Remote,,Posted 1 month ago,243,1 open position,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 12000 GBP Per Month,Customer Service/Support,Customer Care Communication skills Customer Support E-Commerce Customer Service Communication Customer Service Management
Senior Mechanical Site Engineer,Full Time,On-site,,Posted 15 days ago,38,1 open position,3 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Manufacturing Mechanical Engineering Engineering Management Mechanical Electrical Engineering 3D Design AutoCAD HVAC
Automotive Sales Representative,Full Time,On-site,,Posted 29 days ago,36,10 open positions,More Than 2 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Basic Salary + Attractive Commission",Sales/Retail,Communication Automotive Communication skills Customer Service Indoor Sales Management Negotiation sales skills Sales Sales Target Selling Skills Telesales
Administrative Assistant,Part Time,Remote,,Posted 30 days ago,282,1 open position,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,600 To 800 CAD Per Month,Administration,Administration Coordination Construction Communication Office management Management Microsoft Office Filing Secretary
Talent Acquisition Specialist,Full Time,On-site,,Posted 23 days ago,128,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,Communication HR Certificate Human Resources (HR) Interviewing Management Recruitment Talent acquisition Employee Relations Communication skills HR Human Resources Development Human Resources Computer Skills English
Quality Assurance & Systems Section Head,Full Time,On-site,,Posted 2 months ago,89,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Manufacturing/Production,LEAN Lean Six Sigma Engineering Quality Control Quality Assurance Six Sigma quality manficaturing Automotive Maintenance
HR Specialist,Full Time,On-site,N/A,Posted 1 month ago,75,2 open positions,4 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Males Preferred,Human Resources,Communication HR Specialist HRIS HR Human Resources Human Resources (HR) Recruitment Personnel Payroll Microsoft Office Management Labor
MIS Analyst,Full Time,On-site,,Posted 2 days ago,168,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Accounting/Finance,Analyst Accounting MIS
Furniture Production Engineer,Full Time,On-site,,Posted 1 month ago,35,2 open positions,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Manufacturing/Production,Furniture Manufacturing Design Production quality AutoCAD ERP Production Management Engineering
Full Stack Developer,Full Time,Hybrid,,Posted 20 days ago,44,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,IT/Software Development,Development front-end CSS3 HTML5 JavaScript Software Development Web Development Git Bootstrap Computer Science Lamp Stack RESTful API Information Technology (IT) Python Software Software Engineering
Senior HR Specialist,Full Time,On-site,,Posted 10 days ago,75,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,Labor Law English Human Resources Human Resources (HR) HR Microsoft Office Personnel Payroll Problem Solving Detail Oriented Time Management Social Insurance Social Insurance Law Tax Reconciliation
Assistant Brand Manager,Full Time,On-site,,Posted 2 months ago,89,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Bonus",Marketing/PR/Advertising,Marketing Media Social Media Branding FMCG Digital Media
Finance & Accounting Manager,Full Time,On-site,N/A,Posted 19 days ago,48,1 open position,3 To 7 Years,Manager,Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Software Accounting Banking excel CPA Finance Financial Analysis Financial Management SAP Tax Financial
Senior Cost / Commercial Engineer,Full Time,On-site,,Posted 2 months ago,52,1 open position,7 To 10 Years,Manager,Not Specified,"Confidential, Competitive Salary And Benefits Package.",Engineering - Construction/Civil/Architecture,Civil Engineering Construction Cost Cost Estimation Project Management
Planning Engineer,Full Time,Remote,,Posted 10 days ago,72,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Engineering - Construction/Civil/Architecture,Architecture Civil MS Office Planning Primavera Engineering office Primavera P6
Human Resources Manager,Full Time,On-site,,Posted 16 days ago,218,1 open position,10 To 15 Years,Manager,Bachelor'S Degree,Confidential,Human Resources,Human Resources (HR) HR hr management Recruitment Personnel Payroll Administration Business Administration Employee Engagement HR Policies Odoo ERP Performance Management System Strategic Thinking Learning Management System   
